name,height,lat,lon
46218,5.0,34.454,-120.783
46219,5.0,33.225,-119.882
46220,5.0,33.897,-118.446
46221,5.0,33.855,-118.634
46222,5.0,33.618,-118.317
46223,5.0,33.458,-117.767
46224,5.0,33.178,-117.472
46225,5.0,32.933,-117.391
46226,5.0,32.848,-117.353
46227,5.0,32.632,-117.444
46228,5.0,34.317,-119.417
46229,5.0,43.769,-124.547
46230,5.0,33.623,-118.012
46231,5.0,32.747,-117.37
46232,5.0,32.53,-117.421
46233,3.0,32.936,-117.32
46234,3.0,34.1,-119.168
46235,3.0,32.572,-117.167
46236,3.0,36.76,-121.949
46237,3.0,37.786,-122.634
46238,3.0,33.76,-119.55
46239,3.0,36.341,-122.102
46240,3.0,36.626,-121.907
46241,3.0,33.003,-117.292
46242,3.0,33.22,-117.439
46243,3.0,46.216,-124.128
46244,3.0,40.896,-124.357
46245,3.0,34.251,-119.308
46246,3.0,50.033,-145.2
46247,3.0,37.753,-122.833
46248,3.0,46.134,-124.64
46249,3.0,33.821,-119.708
46250,3.0,34.034,-119.09
46251,3.0,33.76,-119.55
46252,3.0,33.953,-119.257
46253,3.0,33.576,-118.181
46254,3.0,32.868,-117.267
46255,3.0,33.4,-119.651
46256,3.0,33.7,-118.201
46257,3.0,34.439,-120.766
46258,3.0,32.75,-117.5
46259,3.0,34.732,-121.664
46260,3.0,43.586,-124.29
46261,3.0,43.76,-124.225
46262,3.0,33.704,-119.004
46263,3.0,39.368,-123.91
46264,3.0,57.479,-151.695
46270,3.0,55.003,175.284
46290,3.0,32.659,-120.63
46401,3.0,46.638,-170.79
46402,3.0,51.02,-164.071
46403,3.0,52.665,-156.947
46404,3.0,45.853,-128.733
46405,3.0,42.903,-130.909
46406,3.0,-8.491,-125.022
46407,3.0,42.682,-128.832
46408,3.0,49.662,-169.9
46409,3.0,55.293,-148.509
46410,3.0,57.65,-143.798
46411,3.0,39.333,-127.067
46412,3.0,32.492,-120.563
46413,3.0,48.0,-174.228
46419,3.0,48.796,-129.619
46490,3.0,32.455,-120.557
48011,3.0,67.582,-164.185
48012,3.0,70.025,-166.071
48021,3.0,70.35,-133.0
48114,3.0,65.011,-169.454
48211,3.0,70.37,-146.04
48212,3.0,70.874,-150.279
48213,3.0,71.502,-164.133
48214,3.0,70.872,-165.248
48215,3.0,71.502,-164.133
48216,3.0,71.758,-167.952
48400,4.0,50.055,-144.873
51000,5.0,23.538,-153.808
51001,4.0,24.417,-162.1
51002,4.0,17.037,-157.696
51003,5.0,19.289,-160.569
51004,4.0,17.602,-152.395
51005,4.0,20.4,-156.1
51026,4.0,21.35,-156.93
51027,4.0,20.4,-157.1
51028,5.0,0.0,-153.913
51100,5.0,23.558,-153.9
51101,5.0,24.318,-162.231
51200,5.0,21.096,-158.303
51201,5.0,21.671,-158.117
51202,5.0,21.415,-157.678
51203,5.0,20.788,-157.01
51204,5.0,21.281,-158.124
51205,5.0,21.018,-156.425
51206,5.0,19.78,-154.97
51207,5.0,21.477,-157.753
51208,5.0,22.285,-159.574
51209,5.0,-14.264,-170.493
51210,5.0,21.477,-157.756
51211,5.0,21.297,-157.959
51406,5.0,-8.48,-125.027
51407,5.0,19.57,-156.545
51425,5.0,-9.517,-176.32
51426,5.0,-23.11,-168.385
51wh0,2.66,22.667,-157.951
52009,2.66,13.729,-144.668
52200,2.66,13.354,144.788
52201,2.66,7.083,171.392
52202,2.66,13.684,144.812
52211,2.66,15.268,145.662
52212,2.66,7.63,134.667
52401,2.66,19.261,155.754
52402,2.66,11.929,153.909
52403,2.66,4.02,145.52
52404,2.66,20.691,132.164
52405,2.66,12.985,132.184
52406,2.66,-5.307,164.977
53046,2.66,-11.445,113.607
53401,2.66,0.05,91.899
54401,2.66,-33.109,-173.155
55012,2.66,-15.664,158.453
55013,2.66,-46.665,161.001
55015,2.66,-46.83,160.256
55016,2.66,-26.0,176.0
55023,2.66,-14.715,153.537
55039,2.66,-38.36,148.11
55042,2.66,-44.898,161.841
55401,2.66,-46.922,160.562
56001,2.66,-14.016,109.944
56003,2.66,-15.023,117.942
61001,2.66,43.4,7.8
61002,2.66,42.102,4.703
62001,3.0,45.23,-5.0
62027,3.5,49.082,-2.218
62028,3.5,50.59,-2.3
62029,3.0,48.72,-12.43
62030,3.0,50.25,-4.217
62050,3.0,50.0,-4.4
62052,3.0,48.5,-5.6
62081,3.0,51.0,-13.55
62090,4.5,53.127,-11.2
62091,4.5,53.469,-5.418
62092,4.5,51.13,-10.33
62093,4.5,55.0,-10.0
62094,4.5,51.41,-6.42
62095,4.5,53.04,-15.53
62103,14.0,49.9,-2.9
62105,3.0,55.42,-12.57
62107,14.0,50.102,-6.1
62108,3.0,53.5,-19.5
62114,3.0,58.3,0.0
62121,3.0,53.5,2.7
62124,3.0,53.6,-3.6
62125,3.0,53.8,-3.5
62126,3.0,53.9,-3.6
62127,3.0,54.0,0.7
62130,3.0,58.7,1.3
62135,3.0,54.2,1.6
62142,3.0,53.0,2.101
62144,3.0,53.4,1.7
62145,3.0,53.102,2.8
62146,3.0,57.2,2.1
62147,3.0,55.7,4.7
62148,3.0,53.6,1.5
62149,3.0,53.7,1.1
62150,3.0,53.6,0.7
62163,3.0,47.55,-8.47
62164,3.0,57.2,0.8
62165,3.0,54.0,1.1
62166,3.0,53.0,2.5
62170,3.0,51.24,2.0
62298,3.0,49.4,-8.6
62301,3.0,52.22,-4.42
62303,3.0,51.602,-5.1
62304,14.0,51.102,1.8
62305,14.0,50.4,0.0
62442,14.0,49.0,-16.5
63105,14.0,61.0,1.692
63110,14.0,59.5,1.5
63112,14.0,61.1,1.0
63113,14.0,61.0,1.708
63115,14.0,61.6,1.3
63117,14.0,61.4,1.1
64045,3.0,59.07,-11.42
64046,3.0,60.483,-4.167
91204,3.0,9.9,139.7
91222,3.0,18.13,145.77
91251,3.0,11.43,162.35
91328,3.0,8.6,149.67
91338,3.0,5.28,153.65
91343,3.0,7.63,155.16
91352,3.0,6.21,160.7
